accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,auc_roc,fold,cr_level,train_cr,file_size_kb
0.781985670419652,0.7562331172339276,0.7247706422018348,0.6583333333333333,0.8541329011345219,0.6899563318777293,0.5238760369675974,0.8496443363947416,1,CR1_original,mixed,101.798525390625
0.7922210849539406,0.7626012965964344,0.752411575562701,0.65,0.8752025931928687,0.6974664679582713,0.5438803709159251,0.8681613542229426,2,CR1_original,mixed,101.798525390625
0.7840327533265097,0.7532257338375652,0.7411003236245954,0.6361111111111111,0.8703403565640194,0.6846038863976084,0.525368700387188,0.863614262560778,3,CR1_original,mixed,101.798525390625
0.7850562947799385,0.7592427516657663,0.7300613496932515,0.6611111111111111,0.8573743922204214,0.6938775510204082,0.5304337586146264,0.8583738519719071,4,CR1_original,mixed,101.798525390625
0.7799385875127943,0.7424635332252836,0.7526132404181185,0.6,0.8849270664505673,0.6676970633693973,0.5135760512895146,0.8642310462812894,5,CR1_original,mixed,101.798525390625
0.7778915046059366,0.7518345939132001,0.7186544342507645,0.6527777777777778,0.8508914100486223,0.6841339155749636,0.5148831285151407,0.8459121195750045,1,CR15,mixed,83.223955078125
0.7799385875127943,0.7557694039258058,0.7177177177177178,0.6638888888888889,0.8476499189627229,0.6897546897546898,0.5206038421807581,0.8537817396002161,2,CR15,mixed,83.223955078125
0.7850562947799385,0.7557716549612823,0.7388535031847133,0.6444444444444445,0.86709886547812,0.6884272997032641,0.5283900773594495,0.850796866558617,3,CR15,mixed,83.223955078125
0.7604912998976459,0.7264879344498469,0.7072368421052632,0.5972222222222222,0.8557536466774717,0.6475903614457831,0.47198106425611863,0.8394516477579688,4,CR15,mixed,83.223955078125
0.7840327533265097,0.7457050243111831,0.7632508833922261,0.6,0.8914100486223663,0.671850699844479,0.5225945933971329,0.8593598055105348,5,CR15,mixed,83.223955078125
0.7737973387922211,0.7445434900054024,0.7192429022082019,0.6333333333333333,0.8557536466774717,0.6735598227474151,0.5039394238726072,0.8335224203133441,1,CR25,mixed,94.79865234375
0.7676560900716479,0.7338960922024131,0.7194719471947195,0.6055555555555555,0.8622366288492707,0.6576168929110106,0.487860359504244,0.848631370430398,2,CR25,mixed,94.79865234375
0.7707267144319345,0.7369057266342518,0.7251655629139073,0.6083333333333333,0.8654781199351702,0.6616314199395771,0.4945885170608224,0.8389068971726994,3,CR25,mixed,94.79865234375
0.7676560900716479,0.7356316405546552,0.7152103559870551,0.6138888888888889,0.8573743922204214,0.6606875934230194,0.488866146786286,0.8454574104087881,4,CR25,mixed,94.79865234375
0.7758444216990789,0.732279848730416,0.7640449438202247,0.5666666666666667,0.8978930307941653,0.6507177033492823,0.5028640138176798,0.8577705744642536,5,CR25,mixed,94.79865234375
0.7686796315250768,0.73644201332613,0.7175324675324676,0.6138888888888889,0.8589951377633711,0.6616766467065869,0.49097576973777146,0.841351521699982,1,CR50,mixed,101.838515625
0.789150460593654,0.7532279848730417,0.7655172413793103,0.6166666666666667,0.8897893030794165,0.683076923076923,0.5347590702986309,0.8549117594093283,2,CR50,mixed,101.838515625
0.7737973387922211,0.7410723933009185,0.7278688524590164,0.6166666666666667,0.8654781199351702,0.6676691729323309,0.5019226003309238,0.846713488204574,3,CR50,mixed,101.838515625
0.7809621289662231,0.7507946155231406,0.7339743589743589,0.6361111111111111,0.8654781199351702,0.6815476190476191,0.518983937282379,0.8498784440842788,4,CR50,mixed,101.838515625
0.7799385875127943,0.7343643075814874,0.7799227799227799,0.5611111111111111,0.9076175040518638,0.6526655896607432,0.5122750396189878,0.8568791644156313,5,CR50,mixed,101.838515625
0.789150460593654,0.7630627588690797,0.7376543209876543,0.6638888888888889,0.8622366288492707,0.6988304093567251,0.5390810961620243,0.8549522780479021,1,CR100,mixed,105.125361328125
0.7952917093142272,0.7632968665586171,0.7649006622516556,0.6416666666666667,0.8849270664505673,0.6978851963746223,0.5496853479571393,0.8696965604177923,2,CR100,mixed,105.125361328125
0.7922210849539406,0.7637583288312624,0.7492063492063492,0.6555555555555556,0.8719611021069692,0.6992592592592592,0.5444346265079045,0.8669187826400144,3,CR100,mixed,105.125361328125
0.7850562947799385,0.7598212677831803,0.7286585365853658,0.6638888888888889,0.8557536466774717,0.6947674418604651,0.5308101947799013,0.8611336214658742,4,CR100,mixed,105.125361328125
0.7881269191402251,0.7483679992796686,0.776173285198556,0.5972222222222222,0.899513776337115,0.6750392464678179,0.5316558077279836,0.8672024131100307,5,CR100,mixed,105.125361328125
0.7799385875127943,0.7528768233387358,0.7244582043343654,0.65,0.8557536466774717,0.6852122986822841,0.5186121891569208,0.8495407887628308,1,CR500,mixed,103.18150390625
0.7911975435005117,0.7617909238249595,0.75,0.65,0.873581847649919,0.6964285714285714,0.5417392399277114,0.8678282009724472,2,CR500,mixed,103.18150390625
0.7860798362333674,0.754846479380515,0.745928338762215,0.6361111111111111,0.873581847649919,0.6866566716641679,0.5296584158995699,0.8635647397802989,3,CR500,mixed,103.18150390625
0.7850562947799385,0.7586642355483522,0.7314814814814815,0.6583333333333333,0.8589951377633711,0.6929824561403509,0.5300674266353085,0.8587655321447866,4,CR500,mixed,103.18150390625
0.7809621289662231,0.7432739059967586,0.7552447552447552,0.6,0.8865478119935171,0.6687306501547987,0.5158189772566979,0.863762830902215,5,CR500,mixed,103.18150390625
0.781985670419652,0.7562331172339276,0.7247706422018348,0.6583333333333333,0.8541329011345219,0.6899563318777293,0.5238760369675974,0.8497298757428418,1,CR1000,mixed,101.876318359375
0.7922210849539406,0.7626012965964344,0.752411575562701,0.65,0.8752025931928687,0.6974664679582713,0.5438803709159251,0.8682063749324689,2,CR1000,mixed,101.876318359375
0.7840327533265097,0.7532257338375652,0.7411003236245954,0.6361111111111111,0.8703403565640194,0.6846038863976084,0.525368700387188,0.8636322708445885,3,CR1000,mixed,101.876318359375
0.7850562947799385,0.7592427516657663,0.7300613496932515,0.6611111111111111,0.8573743922204214,0.6938775510204082,0.5304337586146264,0.8583648478300019,4,CR1000,mixed,101.876318359375
0.7799385875127943,0.7424635332252836,0.7526132404181185,0.6,0.8849270664505673,0.6676970633693973,0.5135760512895146,0.8642580587070052,5,CR1000,mixed,101.876318359375
