accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,auc_roc,fold,cr_level,train_cr,file_size_kb
0.8137154554759468,0.794660543850171,0.7602339181286549,0.7222222222222222,0.86709886547812,0.7407407407407407,0.5959995042231838,0.8924365207995678,1,CR1_original,CR1_original,101.798525390625
0.8004094165813715,0.7928034395822078,0.7142857142857143,0.7638888888888888,0.8217179902755267,0.738255033557047,0.5781077401104727,0.8703853772735459,2,CR1_original,CR1_original,101.798525390625
0.8024564994882293,0.7967382495948137,0.7135549872122762,0.775,0.8184764991896273,0.7430093209054593,0.5843326747459661,0.8845443904195931,3,CR1_original,CR1_original,101.798525390625
0.797338792221085,0.778223482802089,0.7341040462427746,0.7055555555555556,0.8508914100486223,0.7195467422096318,0.5612610208656625,0.8809292274446244,4,CR1_original,CR1_original,101.798525390625
0.8075742067553736,0.7834346299297676,0.7638036809815951,0.6916666666666667,0.8752025931928687,0.7259475218658892,0.5799324961224968,0.8825589771294795,5,CR1_original,CR1_original,101.798525390625
0.7830092118730808,0.7755560057626508,0.6897435897435897,0.7472222222222222,0.8038897893030794,0.7173333333333334,0.542853140788006,0.8687916441563118,1,CR15,CR1_original,83.223955078125
0.7789150460593655,0.759587160093643,0.7057142857142857,0.6861111111111111,0.833063209076175,0.6957746478873239,0.5223231115007521,0.8521654961282189,2,CR15,CR1_original,83.223955078125
0.7983623336745138,0.787711597334774,0.7173333333333334,0.7472222222222222,0.8282009724473258,0.7319727891156462,0.5707781200880097,0.8699441743201873,3,CR15,CR1_original,83.223955078125
0.7840327533265097,0.7688456690077436,0.7052341597796143,0.7111111111111111,0.826580226904376,0.7081604426002767,0.5367714082030517,0.8615162974968484,4,CR15,CR1_original,83.223955078125
0.7932446264073695,0.7657257338375653,0.7484276729559748,0.6611111111111111,0.8703403565640194,0.7020648967551623,0.547143413880558,0.8693093823158654,5,CR15,CR1_original,83.223955078125
0.8055271238485159,0.7974338195569963,0.7225130890052356,0.7666666666666667,0.8282009724473258,0.7439353099730458,0.5880632123575091,0.8788897893030795,1,CR25,CR1_original,94.79865234375
0.7717502558853634,0.7585426796326311,0.6836461126005362,0.7083333333333334,0.8087520259319287,0.6957708049113234,0.5134323022411605,0.8533090221501891,2,CR25,CR1_original,94.79865234375
0.8147389969293757,0.8099338195569963,0.7289002557544757,0.7916666666666666,0.8282009724473258,0.758988015978695,0.6103172005067276,0.8764316585629389,3,CR25,CR1_original,94.79865234375
0.7871033776867963,0.7782189807311364,0.6979166666666666,0.7444444444444445,0.8119935170178282,0.7204301075268817,0.5495631756297628,0.8730055825679813,4,CR25,CR1_original,94.79865234375
0.8075742067553736,0.7788065009904556,0.7774193548387097,0.6694444444444444,0.8881685575364667,0.7194029850746269,0.5779402750159099,0.8733972627408608,5,CR25,CR1_original,94.79865234375
0.8167860798362334,0.7953561138123537,0.7717717717717718,0.7138888888888889,0.8768233387358185,0.7417027417027418,0.6011803026561091,0.8879524581307402,1,CR50,CR1_original,101.838515625
0.797338792221085,0.783430127858815,0.7225274725274725,0.7305555555555555,0.8363047001620746,0.7265193370165746,0.5655733167982532,0.8639429137403205,2,CR50,CR1_original,101.838515625
0.804503582395087,0.7937308661984512,0.7265415549597856,0.7527777777777778,0.8346839546191248,0.7394270122783083,0.583311486853357,0.8818521519899154,3,CR50,CR1_original,101.838515625
0.7850562947799385,0.7684990095443904,0.7094972067039106,0.7055555555555556,0.8314424635332253,0.7075208913649025,0.5376252756326535,0.8699306681073294,4,CR50,CR1_original,101.838515625
0.8055271238485159,0.7725576265081937,0.7871621621621622,0.6472222222222223,0.8978930307941653,0.7103658536585366,0.5722196339810618,0.8787682333873582,5,CR50,CR1_original,101.838515625
0.8208802456499488,0.7991761210156672,0.7794561933534743,0.7166666666666667,0.8816855753646677,0.7467438494934877,0.6098464487588982,0.8932333873581848,1,CR100,CR1_original,105.125361328125
0.8034800409416581,0.7946560417792184,0.7210526315789474,0.7611111111111111,0.8282009724473258,0.7405405405405405,0.583123057957145,0.8738249594813614,2,CR100,CR1_original,105.125361328125
0.8096212896622313,0.8024108589951378,0.7265625,0.775,0.8298217179902755,0.75,0.5973491512963948,0.8859085179182424,3,CR100,CR1_original,105.125361328125
0.797338792221085,0.777644966684675,0.7354651162790697,0.7027777777777777,0.8525121555915721,0.71875,0.5608317040460398,0.8826805330452008,4,CR100,CR1_original,105.125361328125
0.8116683725690891,0.7866761210156672,0.7732919254658385,0.6916666666666667,0.8816855753646677,0.7302052785923754,0.5883920032531703,0.8835944534485864,5,CR100,CR1_original,105.125361328125
0.8106448311156602,0.7904938771835044,0.7581120943952803,0.7138888888888889,0.86709886547812,0.7353361945636624,0.5887767103054506,0.892409508373852,1,CR500,CR1_original,103.18150390625
