accuracy,balanced_accuracy,precision,recall,specificity,f1_score,mcc,auc_roc,fold,model
0.9148351648351648,0.9038092219847609,0.9648473635522664,0.9238263950398583,0.8837920489296636,0.9438914027149321,0.7707234890693072,0.9653776040608586,1,DualDenseNet_Attention
0.8843728100911002,0.8255120496016382,0.9047619047619048,0.9446529080675422,0.7063711911357341,0.9242771913721891,0.6831512422559575,0.9379381850498667,2,DualDenseNet_Attention
0.772264631043257,0.6554392688679245,0.7510729613733905,0.9905660377358491,0.3203125,0.8543531326281529,0.4643553395151136,0.7707123378537736,3,DualDenseNet_Attention
0.7056404230317274,0.6061983782513666,0.6822849807445442,0.9943872778297475,0.21800947867298578,0.8092881614008375,0.36887023743640585,0.7633213482946812,4,DualDenseNet_Attention
0.9212778094694809,0.9032961980597611,0.9094754653130288,0.9719710669077758,0.8346213292117465,0.9396853146853147,0.830533271115015,0.9710494394772368,5,DualDenseNet_Attention
0.8811813186813187,0.7930416622650556,0.8996655518394648,0.9530558015943312,0.6330275229357798,0.9255913978494623,0.6385985797419693,0.9391981754306129,1,Inception_DenseNet_Attention
0.8955851436580238,0.8357647352309875,0.9082813891362422,0.9568480300187617,0.7146814404432132,0.9319323892188214,0.7129689392247947,0.9475970958303234,2,Inception_DenseNet_Attention
0.789440203562341,0.6848356426886792,0.7682119205298014,0.9849056603773585,0.384765625,0.8631665977676726,0.5061789733410906,0.8133217865566038,3,Inception_DenseNet_Attention
0.7573443008225617,0.6927832629156895,0.7404692082111437,0.9448082319925164,0.44075829383886256,0.8302507192766132,0.46711573242564425,0.7959920316487779,4,Inception_DenseNet_Attention
0.9247005134055905,0.9149887783650232,0.9302120141342756,0.9520795660036167,0.8778979907264297,0.9410187667560321,0.837388590250687,0.9758734847997853,5,Inception_DenseNet_Attention
0.9182692307692307,0.9201439394555004,0.9764150943396226,0.91674047829938,0.9235474006116208,0.9456372772955688,0.7880402872140304,0.9705376466413677,1,SE_DenseNet169
0.8486334968465312,0.7796068872685318,0.8828828828828829,0.9193245778611632,0.6398891966759003,0.9007352941176471,0.5848155922595959,0.913620701303966,2,SE_DenseNet169
0.7837150127226463,0.710377358490566,0.7922077922077922,0.9207547169811321,0.5,0.8516579406631762,0.4789300575541569,0.7869693396226416,3,SE_DenseNet169
0.7332549941245593,0.6536323829537578,0.7125086385625432,0.9644527595884004,0.34281200631911535,0.8195548489666137,0.4161013399587307,0.7496323947762374,4,SE_DenseNet169
0.9024529378208785,0.8768317257840471,0.8828828828828829,0.9746835443037974,0.7789799072642968,0.9265148259561667,0.7910310129147597,0.9694388623526025,5,SE_DenseNet169
0.885989010989011,0.9058461521792716,0.981018981018981,0.8697962798937112,0.9418960244648318,0.9220657276995305,0.7307848555802118,0.9608378500635186,1,CBAM_DenseNet169
0.905395935529082,0.8835512673260122,0.944603629417383,0.9277673545966229,0.8393351800554016,0.9361097964978703,0.7544326613797339,0.9553746368488616,2,CBAM_DenseNet169
0.7964376590330788,0.7324329304245283,0.8078202995008319,0.9160377358490566,0.548828125,0.8585322723253758,0.513526039740266,0.806044553360849,3,CBAM_DenseNet169
0.7526439482961222,0.6790544085287368,0.728490832157969,0.9663236669784846,0.39178515007898895,0.8307197426618416,0.4642035272804949,0.7760260803899055,4,CBAM_DenseNet169
0.9075869937250428,0.8943705962419402,0.9118673647469459,0.9448462929475587,0.8438948995363215,0.9280639431616341,0.7999771313882059,0.9692529996562239,5,CBAM_DenseNet169
