accuracy,balanced_accuracy,precision,recall,specificity,f1_score,mcc,auc_roc,fold,model
0.8880494505494505,0.9180365834829881,0.9908536585365854,0.8635961027457927,0.9724770642201835,0.922858495030762,0.7454123504177422,0.9760769049495779,1,DenseNet169
0.8857743517869656,0.8438541054918327,0.9192200557103064,0.9287054409005628,0.7590027700831025,0.9239384041063929,0.6948555635520551,0.927489306855566,2,DenseNet169
0.8231552162849872,0.7552734375,0.8173701298701299,0.95,0.560546875,0.8787085514834206,0.5811372620661786,0.8392799233490565,3,DenseNet169
0.7168037602820212,0.6315154793202665,0.6989830508474576,0.9644527595884004,0.2985781990521327,0.8105345911949685,0.3739285596422504,0.751815120064669,4,DenseNet169
0.9247005134055905,0.9262139070015736,0.9585687382297552,0.9204339963833634,0.9319938176197836,0.9391143911439115,0.8417556375401626,0.9773163662585141,5,DenseNet169
0.8880494505494505,0.8289696437809975,0.9207317073170732,0.9362267493356953,0.7217125382262997,0.9284145805884936,0.6722957490924123,0.9432584924007876,1,Attention_Fusion_Hybrid
0.8948843728100911,0.906743567222589,0.974120082815735,0.8827392120075047,0.9307479224376731,0.9261811023622047,0.7562125249971648,0.9600936527157728,2,Attention_Fusion_Hybrid
0.7646310432569975,0.6502837558962264,0.7492774566473989,0.9783018867924528,0.322265625,0.8486088379705401,0.43409319678259023,0.6940227004716981,3,Attention_Fusion_Hybrid
0.7761457109283196,0.7261137884101277,0.7683307332293292,0.921421889616464,0.5308056872037915,0.8379413015737984,0.5069663009715524,0.8172658447087755,4,Attention_Fusion_Hybrid
0.8419851682829436,0.809668214125006,0.8356275303643724,0.9330922242314648,0.6862442040185471,0.8816744980777446,0.655025142567905,0.9205625630605576,5,Attention_Fusion_Hybrid
0.882554945054945,0.914493625112749,0.9907786885245902,0.8565101860053145,0.9724770642201835,0.9187648456057007,0.7359074015329099,0.9717809324914743,1,Xception_DenseNet169
0.8815697266993693,0.8978317473351592,0.9736008447729673,0.8649155722326454,0.9307479224376731,0.9160457029309488,0.7320926185701765,0.9574145198089525,2,Xception_DenseNet169
0.7856234096692112,0.6946270636792453,0.7774366845740599,0.9556603773584905,0.43359375,0.8573846804909014,0.4843650421376849,0.7914384949882074,3,Xception_DenseNet169
0.7285546415981199,0.6450581296541777,0.7066031313818925,0.971000935453695,0.31911532385466035,0.817966903073286,0.4079189850059843,0.742657131836903,4,Xception_DenseNet169
0.9138619509412436,0.9118514719487075,0.9425393883225208,0.9195298372513563,0.9041731066460588,0.9308924485125858,0.8170707268944979,0.9678611256292081,5,Xception_DenseNet169
