accuracy,balanced_accuracy,precision,recall,specificity,f1_score,mcc,auc_roc,fold,model,epochs_trained
0.8331043956043956,0.8815208175891089,0.9889624724061811,0.7936226749335695,0.9694189602446484,0.8805896805896806,0.656785625942484,0.9601850572751183,1,DenseNet121,28
0.8885774351786966,0.9098501660490715,0.9819341126461212,0.8667917448405253,0.9529085872576177,0.9207772795216741,0.7519247290496986,0.9502034685806052,2,DenseNet121,7
0.7391857506361323,0.6919995577830189,0.7943840579710145,0.8273584905660377,0.556640625,0.8105360443622921,0.393559748149046,0.7329912293632075,3,DenseNet121,9
0.8043478260869565,0.7611290172416086,0.7939297124600639,0.9298409728718429,0.5924170616113744,0.8565273588970271,0.5723575503127534,0.8173988476038052,4,DenseNet121,11
0.9218482601254991,0.9043897135478534,0.910941475826972,0.9710669077757685,0.8377125193199382,0.9400437636761488,0.8316621768411536,0.9754982657473218,5,DenseNet121,7
0.709478021978022,0.7268576830460773,0.9085648148148148,0.6953055801594331,0.7584097859327217,0.7877571500250878,0.38546647343216084,0.791585744739059,1,ResNet50,7
0.7463209530483532,0.5920467951749622,0.7875816993464052,0.9043151969981238,0.27977839335180055,0.8419213973799127,0.22910372118991354,0.7479588177513993,2,ResNet50,7
0.5750636132315522,0.5874668337264151,0.7519280205655527,0.5518867924528302,0.623046875,0.6365614798694232,0.1639688174591986,0.6114165683962265,3,ResNet50,10
0.6198589894242068,0.6348811914694898,0.7604938271604939,0.5762394761459307,0.693522906793049,0.6556679084619479,0.2610641035892718,0.6919992847399867,4,ResNet50,11
0.6332002281802624,0.5194478061214508,0.6405585913782635,0.953887884267631,0.08500772797527048,0.7664366146022521,0.07874637733850713,0.7766140009111464,5,ResNet50,7
0.7754120879120879,0.5,0.7754120879120879,1.0,0.0,0.8735009671179884,0.0,0.4574953342922074,1,EfficientNetB0,7
0.40294323756131745,0.5866352585324276,0.9385245901639344,0.21482176360225141,0.9584487534626038,0.34961832061068704,0.20006429553670468,0.7155337737055187,2,EfficientNetB0,12
0.6743002544529262,0.5,0.6743002544529262,1.0,0.0,0.8054711246200608,0.0,0.6047354068396227,3,EfficientNetB0,7
0.6280846063454759,0.5,0.6280846063454759,1.0,0.0,0.7715626127751715,0.0,0.6029132067441335,4,EfficientNetB0,11
0.6309184255561894,0.5,0.6309184255561894,1.0,0.0,0.7736970968870235,0.0,0.8032748168623582,5,EfficientNetB0,6
