accuracy,balanced_accuracy,precision,recall,specificity,f1_score,mcc,auc_roc,tp,tn,fp,fn,fold,model,cr_level,epochs_trained,n_train,n_test,train_duration_sec,energy_kwh,co2_emissions_kg,co2_emissions_g,avg_file_size_kb
0.882554945054945,0.9090627141553105,0.9858012170385395,0.8609388839681134,0.9571865443425076,0.9191489361702128,0.7302193752667934,0.9724797729039528,972,313,14,157,1,Inception_DenseNet169_Attention,CR1_original,11,5412,1456,680.309656,0.02309522916680122,0.0159682954934472,15.9682954934472,480.937060546875
0.8857743517869656,0.9079739934411917,0.9818569903948773,0.8630393996247655,0.9529085872576177,0.9186220668996505,0.7470107352827066,0.9610187461346166,920,344,17,146,2,Inception_DenseNet169_Attention,CR1_original,11,5404,1427,327.110561,0.01222010362092192,0.008449114064645245,8.449114064645245,480.937060546875
0.8288804071246819,0.7877911261792453,0.8503100088573959,0.9056603773584906,0.669921875,0.8771128369118318,0.5995790827163835,0.8442723688089623,960,343,169,100,3,Inception_DenseNet169_Attention,CR1_original,11,5180,1572,321.520563,0.012018286603302477,0.00830957555867597,8.30957555867597,480.937060546875
0.763807285546416,0.700827721350068,0.7457627118644068,0.9466791393826005,0.4549763033175355,0.8342951360263808,0.4828863093286482,0.7838392615679268,1012,288,345,57,4,Inception_DenseNet169_Attention,CR1_original,8,5248,1702,234.375875,0.00899252005607691,0.006217527284492193,6.217527284492193,480.937060546875
0.9195664575014262,0.9122029341151678,0.9327354260089686,0.9403254972875226,0.884080370942813,0.9365150832958127,0.8268429071045572,0.9755960882190999,1040,572,75,66,5,Inception_DenseNet169_Attention,CR1_original,7,5102,1753,210.753981,0.008176618105957182,0.005653403701257961,5.653403701257961,480.937060546875
0.9114010989010989,0.9113705127267506,0.9725897920604915,0.9114260407440212,0.9113149847094801,0.9410150891632373,0.7703704772698645,0.968473629609164,1029,298,29,100,1,Inception_DenseNet169_Attention,CR15,11,5412,1456,763.275131,0.025567215879207433,0.01767745429825869,17.67745429825869,523.602705078125
0.8766643307638402,0.8899684532749866,0.968421052631579,0.8630393996247655,0.9168975069252078,0.9126984126984127,0.7187381256651016,0.9532490008471362,920,331,30,146,2,Inception_DenseNet169_Attention,CR15,11,5404,1427,322.294527,0.012051555141939797,0.008332577792243737,8.332577792243736,523.602705078125
0.8053435114503816,0.7289394162735849,0.8001592356687898,0.9481132075471698,0.509765625,0.8678756476683938,0.5354268167343664,0.7809607163915094,1005,261,251,55,3,Inception_DenseNet169_Attention,CR15,7,5180,1572,217.96995,0.008293421122557272,0.005734162591768446,5.734162591768446,523.602705078125
0.6921269095182139,0.5967293110302256,0.6784544859201048,0.9691300280636108,0.22432859399684044,0.7981510015408321,0.3078507775618505,0.7638282371057388,1036,142,491,33,4,Inception_DenseNet169_Attention,CR15,6,5248,1702,188.680911,0.007249271742562373,0.005012226224796793,5.012226224796793,523.602705078125
0.8670849971477467,0.8209003300809691,0.827456864216054,0.9972875226039783,0.6445131375579598,0.9044690446904469,0.7255880865061544,0.9777146434650397,1103,417,230,3,5,Inception_DenseNet169_Attention,CR15,7,5102,1753,213.912513,0.008159947204246273,0.0056418772564351205,5.64187725643512,523.602705078125
0.8756868131868132,0.9013754696180485,0.9826883910386965,0.8547387068201948,0.9480122324159022,0.9142586451918522,0.7149188612538926,0.9683029825316983,965,310,17,164,1,Inception_DenseNet169_Attention,CR25,11,5412,1456,767.821381,0.0258281954386617,0.017857898436440523,17.85789843644052,505.078701171875
0.8892782060266293,0.8947472364133401,0.9651639344262295,0.8836772983114447,0.9058171745152355,0.9226248775710089,0.7381899316067189,0.9465160877903258,942,327,34,124,2,Inception_DenseNet169_Attention,CR25,9,5404,1427,269.376679,0.010129030386943221,0.007003323028866799,7.0033230288668,505.078701171875
0.8034351145038168,0.7340875589622642,0.8060309698451508,0.9330188679245283,0.53515625,0.8648885002186271,0.5301080664529967,0.7973430129716981,989,274,238,71,3,Inception_DenseNet169_Attention,CR25,7,5180,1572,218.866832,0.008317922560001934,0.005751103155133498,5.751103155133498,505.078701171875
0.736192714453584,0.6698240076136768,0.7269399707174231,0.9289055191768008,0.4107424960505529,0.815605749486653,0.41240583403024034,0.7438984921905133,993,260,373,76,4,Inception_DenseNet169_Attention,CR25,7,5248,1702,212.341796,0.008129353670186067,0.005620724550457019,5.620724550457019,505.078701171875
0.9201369081574444,0.9059199364992412,0.917098445595855,0.9602169981916817,0.8516228748068007,0.9381625441696113,0.8273462806471042,0.975023128027256,1062,551,96,44,5,Inception_DenseNet169_Attention,CR25,14,5102,1753,389.400612,0.014486413910980179,0.010016065928604717,10.016065928604716,505.078701171875
0.8598901098901099,0.8911894643036109,0.9822732012513035,0.8343666961913198,0.9480122324159022,0.9022988505747126,0.6885738011604711,0.9605182253787418,942,310,17,187,1,Inception_DenseNet169_Attention,CR50,13,5412,1456,844.324675,0.028186678582424293,0.019488579625352567,19.488579625352568,475.125263671875
0.9110021023125437,0.916615561318622,0.9737638748738647,0.9052532833020638,0.9279778393351801,0.9382596013612057,0.7863531207018203,0.9677698492305614,965,335,26,101,2,Inception_DenseNet169_Attention,CR50,12,5404,1427,351.339802,0.013083401509259455,0.009046007720918589,9.046007720918588,475.125263671875
0.8256997455470738,0.7849277712264151,0.8490230905861457,0.9018867924528302,0.66796875,0.8746569075937786,0.5924013848756756,0.8387151754127359,956,342,170,104,3,Inception_DenseNet169_Attention,CR50,18,5180,1572,504.548635,0.018611135760954207,0.012867943987617108,12.867943987617108,475.125263671875
0.7027027027027027,0.6061148819894868,0.6829109811565952,0.9831618334892422,0.22906793048973143,0.8059815950920245,0.34856508817636017,0.7458950134259033,1051,145,488,18,4,Inception_DenseNet169_Attention,CR50,6,5248,1702,188.512351,0.007260709477652698,0.00502013440065333,5.02013440065333,475.125263671875
0.9144324015972618,0.8994748330729392,0.9120689655172414,0.9566003616636528,0.8423493044822257,0.9338040600176523,0.8148783550241324,0.9705722055613472,1058,545,102,48,5,Inception_DenseNet169_Attention,CR50,14,5102,1753,391.422854,0.014548994462517423,0.010059334810323634,10.059334810323634,475.125263671875
0.8798076923076923,0.9051188705872155,0.9837728194726166,0.8591674047829938,0.9510703363914373,0.91725768321513,0.7231792054180429,0.963752393799281,970,311,16,159,1,Inception_DenseNet169_Attention,CR100,11,5412,1456,776.40099,0.02586546474580156,0.017883666845359403,17.883666845359404,434.228046875
0.8913805185704274,0.912642337056228,0.9830328738069989,0.8696060037523452,0.9556786703601108,0.9228471876555501,0.7578049822599077,0.9723615348235306,927,345,16,139,2,Inception_DenseNet169_Attention,CR100,13,5404,1427,382.00956,0.01414651053115465,0.009781052992856169,9.78105299285617,434.228046875
0.8072519083969466,0.7697339327830188,0.843155031731641,0.8773584905660378,0.662109375,0.8599167822468793,0.5525598381022209,0.8316866892688679,930,339,173,130,3,Inception_DenseNet169_Attention,CR100,15,5180,1572,422.883641,0.01569482656709095,0.01085157573157892,10.851575731578919,434.228046875
0.709165687426557,0.6251128677345321,0.6960382513661202,0.9532273152478953,0.296998420221169,0.8045795499407817,0.34870940844986803,0.7700542504030725,1019,188,445,50,4,Inception_DenseNet169_Attention,CR100,6,5248,1702,190.945265,0.007319769266388611,0.005060968988243016,5.060968988243016,434.228046875
0.833998859098688,0.7760780735121902,0.7929547088425594,0.9972875226039783,0.5548686244204019,0.8834601521826192,0.6582240782042799,0.9654868344927625,1103,359,288,3,5,Inception_DenseNet169_Attention,CR100,7,5102,1753,208.028943,0.00794342753896423,0.005492173178142798,5.492173178142798,434.228046875
0.8207417582417582,0.8681182502986324,0.9832962138084632,0.7821080602302923,0.9541284403669725,0.871238283177109,0.6319502998821526,0.933973124439641,883,312,15,246,1,Inception_DenseNet169_Attention,CR500,10,5412,1456,744.168375,0.024713502175356988,0.017087187252565753,17.08718725256575,312.6960546875
0.8787666433076384,0.9060315571193215,0.9847991313789359,0.850844277673546,0.961218836565097,0.9129340714645193,0.7379329691710826,0.9630378404785538,907,347,14,159,2,Inception_DenseNet169_Attention,CR500,13,5404,1427,378.52412,0.014026619267928775,0.009698158854657902,9.698158854657901,312.6960546875
0.7659033078880407,0.7219081662735849,0.8128390596745028,0.8481132075471698,0.595703125,0.830101569713758,0.45542898975303603,0.7989838222287737,899,305,207,161,3,Inception_DenseNet169_Attention,CR500,12,5180,1572,346.968739,0.012934849427305694,0.008943297177382858,8.943297177382858,312.6960546875
0.7021151586368978,0.602425529462358,0.6803594351732991,0.9915809167446211,0.2132701421800948,0.8070041872858774,0.35576559637193306,0.7581800474968117,1060,135,498,9,4,Inception_DenseNet169_Attention,CR500,6,5248,1702,191.907525,0.007338994705709923,0.005074261668469604,5.074261668469604,312.6960546875
0.863091842555619,0.8366581328205573,0.8584437086092715,0.9376130198915009,0.7357032457496137,0.8962834917891098,0.7019676392724034,0.9254355196189954,1037,476,171,69,5,Inception_DenseNet169_Attention,CR500,7,5102,1753,215.778502,0.008196121669851933,0.005666888679873995,5.666888679873995,312.6960546875
0.8021978021978022,0.843126579501223,0.9698324022346368,0.7688219663418955,0.9174311926605505,0.857707509881423,0.5884536427500416,0.9075526229539279,868,300,27,261,1,Inception_DenseNet169_Attention,CR1000,7,5412,1456,766.051656,0.02437475357788631,0.016852972746039953,16.852972746039953,255.17923828125
0.7988787666433076,0.8379046634063188,0.964243146603099,0.7589118198874296,0.9168975069252078,0.8493438320209974,0.5968796069614584,0.9188646297287606,809,331,30,257,2,Inception_DenseNet169_Attention,CR1000,9,5404,1427,276.219748,0.01033455520916505,0.0071454251517240166,7.145425151724017,255.17923828125
0.7461832061068703,0.7143536261792454,0.8156638013371538,0.8056603773584906,0.623046875,0.8106312292358804,0.42598641662204095,0.7842017983490566,854,319,193,206,3,Inception_DenseNet169_Attention,CR1000,12,5180,1572,350.300911,0.013034703752241597,0.009012337556041115,9.012337556041114,255.17923828125
0.7309048178613397,0.6530501258355168,0.7128919860627178,0.9569691300280636,0.34913112164297,0.8170926517571885,0.4067923836565668,0.7475619830436087,1023,221,412,46,4,Inception_DenseNet169_Attention,CR1000,6,5248,1702,192.25428,0.007363315056273608,0.005091077026373191,5.091077026373191,255.17923828125
0.8533941814033086,0.8276899083543185,0.854045037531276,0.9258589511754068,0.7295208655332303,0.8885032537960954,0.6802339327884329,0.9304300555352146,1024,472,175,82,5,Inception_DenseNet169_Attention,CR1000,7,5102,1753,215.621179,0.008202441101156551,0.005671258004191753,5.671258004191753,255.17923828125
