CR Level,Accuracy,F1-Score,Total Energy (kWh),Total CO2 (g),Total CO2 (kg),Training Time (hours),Avg File Size (KB),CO2 per Accuracy (g/%),Energy per Accuracy (kWh/%)
CR1_original,0.8561166894028869,0.8971388118607777,0.06450275755305972,44.59791610251857,0.044597916102518564,0.4927973988888889,480.937060546875,0.5209326795582521,0.0007534341796098877
CR15,0.8305241695562563,0.8848418391522646,0.06132141109051315,42.39829816350279,0.04239829816350279,0.47392584222222217,523.602705078125,0.5105004732873207,0.0007383458945364201
CR25,0.8449459512656576,0.8911080633275503,0.0668909159667731,46.24911509950255,0.04624911509950255,0.5160575833333333,505.078701171875,0.5473618168147357,0.0007916591098705918
CR50,0.8427454124099384,0.8910002029278747,0.08169091979280807,56.48200054486523,0.05648200054486523,0.6333745325000001,475.125263671875,0.6702142748347656,0.0009693428002082198
CR100,0.8243209331600623,0.8776122710481922,0.07096999864940001,49.06943773618031,0.04906943773618031,0.5500745552777778,434.228046875,0.5952710377992095,0.0008609510664412477
CR500,0.8061237421259909,0.8635123206860748,0.06721008724615332,46.46979363295011,0.046469793632950104,0.5214853502777779,312.6960546875,0.5764598064112996,0.0008337440486357602
CR1000,0.7863117548425256,0.8446556953383169,0.06330976869672311,43.773070484370024,0.04377307048437002,0.5001243816666666,255.17923828124998,0.5566884917437924,0.0008051484453440753
